DATAFLOW,LAST UPDATE,freq,geo,unit,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2006,162.5,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2007,159.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2008,146.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2009,139.1,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2010,126.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2011,125,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2012,117,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2013,112.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2014,110.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2015,106.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2016,106,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2017,129.8,be,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2018,132.8,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2019,135.6,e,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2020,116.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2021,92.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2022,86.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Denmark,Grams per kilometre,2023,72.8,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2004,179,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2005,183.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2006,182.7,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2007,181.6,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2008,177.4,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2009,170.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2010,162,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2011,156.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2012,150.3,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2013,147,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2014,140.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2015,137.2,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2016,133.9,,
ESTAT:SDG_13_31(1.0),20/01/25 11:00:00,Annual,Estonia,Grams per kilometre,2017,161,be,
