DATAFLOW,LAST UPDATE,freq,waste,hazard,nace_r2,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2016,2774,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2018,2945,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2020,2230,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,Spain,2022,2480,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2004,5186,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2006,5214,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2008,4881,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2010,5017,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2012,5086,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2014,5062,,
ESTAT:SDG_12_51(1.0),30/09/24 23:00:00,Annual,Total waste,Hazardous and non-hazardous - total,All NACE activities plus households,Kilograms per capita,European Union - 27 countries (from 2020),2016,5074,,
