DATAFLOW,LAST UPDATE,freq,aquaenv,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2011,97.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2012,96.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2013,95.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2014,96.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2015,96.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2016,96.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2017,95.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2018,95.6,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2019,98.4,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2020,98.8,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2021,99.2,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2022,98.9,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Croatia,2023,99.1,,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2011,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2012,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2013,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2014,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2015,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2016,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2017,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2018,,m,
ESTAT:SDG_14_40(1.0),05/08/24 23:00:00,Annual,Coastal water excellent - %,Hungary,2019,,m,
