DATAFLOW,LAST UPDATE,freq,areaprot,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Italy,2016,5.2,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Italy,2019,5.4,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Italy,2021,9.7,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Lithuania,2012,10.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Lithuania,2016,24.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Lithuania,2019,24.1,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Lithuania,2021,22.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Luxembourg,2012,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Luxembourg,2016,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Luxembourg,2019,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Luxembourg,2021,,m,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Latvia,2012,15.5,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Latvia,2016,15.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Latvia,2019,15.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Latvia,2021,15.8,,
ESTAT:SDG_14_10(1.0),20/11/24 23:00:00,Annual,Marine protected area,Percentage,Malta,2012,0.3,,
