DATAFLOW,LAST UPDATE,freq,nrg_bal,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2010,66.361,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2011,66.779,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2012,67.439,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2013,68.909,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2014,71.059,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2015,71.487,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2016,72.521,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2017,71.626,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2018,74.189,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2019,75.067,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2020,78.204,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2021,73.881,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2022,74.806,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Austria,2023,87.764,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2014,38.394,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2015,38.726,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2016,40.829,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2017,39.564,,
ESTAT:SDG_07_40(1.0),14/02/25 11:00:00,Annual,Renewable energy sources in electricity,Percentage,Bosnia and Herzegovina,2018,41.498,,
