statinfo,unit,stk_flow,country,year,value
Thirty-year average,"Current prices, euro per capita",Losses,Greece,2023,37.01
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2009,44.84
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2010,42.85
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2011,40.06
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2012,37.83
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2013,27.38
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2014,24.67
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2015,24.77
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2016,25.05
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2017,23.51
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2018,24.09
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2019,25.58
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2020,22.56
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2021,24.48
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2022,31.94
Thirty-year average,"Current prices, euro per capita",Losses,Spain,2023,36.41
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2009,28.92
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2010,30.1
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2011,30.19
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2012,29.72
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2013,29.92
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2014,30.26
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2015,30.87
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2016,31.31
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2017,32.4
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2018,33.95
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2019,35.5
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2020,34.18
Thirty-year average,"Current prices, euro per capita",Losses,European Union - 27 countries (from 2020),2021,38.73
