aquaenv,country,year,value
Coastal water excellent - number,Kosovo*,2016,
Coastal water excellent - number,Kosovo*,2017,
Coastal water excellent - number,Kosovo*,2018,
Coastal water excellent - number,Kosovo*,2019,
Coastal water excellent - number,Kosovo*,2020,
Coastal water excellent - number,Kosovo*,2021,
Coastal water excellent - number,Kosovo*,2022,
Coastal water excellent - number,Kosovo*,2023,
Coastal water excellent - %,Albania,2013,50.7
Coastal water excellent - %,Albania,2014,35.6
Coastal water excellent - %,Albania,2015,32.1
Coastal water excellent - %,Albania,2016,37.0
Coastal water excellent - %,Albania,2017,54.9
Coastal water excellent - %,Albania,2018,65.7
Coastal water excellent - %,Albania,2019,59.3
Coastal water excellent - %,Albania,2020,77.9
Coastal water excellent - %,Albania,2021,70.8
Coastal water excellent - %,Albania,2022,69.9
Coastal water excellent - %,Albania,2023,41.6
Coastal water excellent - %,Austria,2011,
Coastal water excellent - %,Austria,2012,
Coastal water excellent - %,Austria,2013,
Coastal water excellent - %,Austria,2014,
Coastal water excellent - %,Austria,2015,
Coastal water excellent - %,Austria,2016,
Coastal water excellent - %,Austria,2017,
Coastal water excellent - %,Austria,2018,
Coastal water excellent - %,Austria,2019,
Coastal water excellent - %,Austria,2020,
Coastal water excellent - %,Austria,2021,
Coastal water excellent - %,Austria,2022,
Coastal water excellent - %,Austria,2023,
Coastal water excellent - %,Belgium,2011,40.5
Coastal water excellent - %,Belgium,2012,52.4
Coastal water excellent - %,Belgium,2013,47.6
Coastal water excellent - %,Belgium,2014,69.1
Coastal water excellent - %,Belgium,2015,76.2
Coastal water excellent - %,Belgium,2016,90.5
Coastal water excellent - %,Belgium,2017,95.2
Coastal water excellent - %,Belgium,2018,97.6
Coastal water excellent - %,Belgium,2019,97.6
Coastal water excellent - %,Belgium,2020,95.1
Coastal water excellent - %,Belgium,2021,92.7
Coastal water excellent - %,Belgium,2022,85.4
Coastal water excellent - %,Belgium,2023,65.9
Coastal water excellent - %,Bulgaria,2011,50.6
Coastal water excellent - %,Bulgaria,2012,61.8
Coastal water excellent - %,Bulgaria,2013,65.6
Coastal water excellent - %,Bulgaria,2014,72.2
Coastal water excellent - %,Bulgaria,2015,70.0
Coastal water excellent - %,Bulgaria,2016,63.3
Coastal water excellent - %,Bulgaria,2017,45.1
Coastal water excellent - %,Bulgaria,2018,53.9
Coastal water excellent - %,Bulgaria,2019,67.0
Coastal water excellent - %,Bulgaria,2020,63.0
Coastal water excellent - %,Bulgaria,2021,89.1
Coastal water excellent - %,Bulgaria,2022,92.4
Coastal water excellent - %,Bulgaria,2023,94.6
Coastal water excellent - %,Switzerland,2011,
Coastal water excellent - %,Switzerland,2012,
Coastal water excellent - %,Switzerland,2013,
Coastal water excellent - %,Switzerland,2014,
Coastal water excellent - %,Switzerland,2015,
Coastal water excellent - %,Switzerland,2016,
Coastal water excellent - %,Switzerland,2017,
Coastal water excellent - %,Switzerland,2018,
Coastal water excellent - %,Switzerland,2019,
Coastal water excellent - %,Switzerland,2020,
Coastal water excellent - %,Switzerland,2021,
Coastal water excellent - %,Switzerland,2022,
Coastal water excellent - %,Switzerland,2023,
Coastal water excellent - %,Cyprus,2011,99.1
Coastal water excellent - %,Cyprus,2012,100.0
Coastal water excellent - %,Cyprus,2013,100.0
Coastal water excellent - %,Cyprus,2014,100.0
Coastal water excellent - %,Cyprus,2015,99.1
Coastal water excellent - %,Cyprus,2016,99.1
Coastal water excellent - %,Cyprus,2017,97.4
Coastal water excellent - %,Cyprus,2018,99.1
Coastal water excellent - %,Cyprus,2019,99.1
Coastal water excellent - %,Cyprus,2020,100.0
Coastal water excellent - %,Cyprus,2021,93.3
Coastal water excellent - %,Cyprus,2022,99.2
Coastal water excellent - %,Cyprus,2023,97.6
Coastal water excellent - %,Czechia,2011,
Coastal water excellent - %,Czechia,2012,
Coastal water excellent - %,Czechia,2013,
Coastal water excellent - %,Czechia,2014,
Coastal water excellent - %,Czechia,2015,
Coastal water excellent - %,Czechia,2016,
Coastal water excellent - %,Czechia,2017,
Coastal water excellent - %,Czechia,2018,
Coastal water excellent - %,Czechia,2019,
Coastal water excellent - %,Czechia,2020,
Coastal water excellent - %,Czechia,2021,
Coastal water excellent - %,Czechia,2022,
Coastal water excellent - %,Czechia,2023,
Coastal water excellent - %,Germany,2011,75.3
Coastal water excellent - %,Germany,2012,79.5
Coastal water excellent - %,Germany,2013,79.0
Coastal water excellent - %,Germany,2014,78.8
Coastal water excellent - %,Germany,2015,76.3
Coastal water excellent - %,Germany,2016,80.4
Coastal water excellent - %,Germany,2017,82.8
Coastal water excellent - %,Germany,2018,85.5
Coastal water excellent - %,Germany,2019,86.7
Coastal water excellent - %,Germany,2020,83.5
Coastal water excellent - %,Germany,2021,84.6
Coastal water excellent - %,Germany,2022,86.5
Coastal water excellent - %,Germany,2023,87.6
