unit,country,year,value
Milligrams per litre,Serbia,2000,2.84
Milligrams per litre,Serbia,2001,2.65
Milligrams per litre,Serbia,2002,2.82
Milligrams per litre,Serbia,2003,3.0
Milligrams per litre,Serbia,2004,2.59
Milligrams per litre,Serbia,2005,2.58
Milligrams per litre,Serbia,2006,2.84
Milligrams per litre,Serbia,2007,2.67
Milligrams per litre,Serbia,2008,2.63
Milligrams per litre,Serbia,2009,2.32
Milligrams per litre,Serbia,2010,2.38
Milligrams per litre,Serbia,2011,2.33
Milligrams per litre,Serbia,2012,2.17
Milligrams per litre,Serbia,2013,2.0
Milligrams per litre,Serbia,2014,2.02
Milligrams per litre,Serbia,2015,2.08
Milligrams per litre,Serbia,2016,2.35
Milligrams per litre,Serbia,2017,2.32
Milligrams per litre,Serbia,2018,2.17
Milligrams per litre,Serbia,2019,2.17
Milligrams per litre,Serbia,2020,2.1
Milligrams per litre,Serbia,2021,2.17
Milligrams per litre,Serbia,2022,2.35
Milligrams per litre,Slovenia,2000,3.03
Milligrams per litre,Slovenia,2001,3.87
Milligrams per litre,Slovenia,2002,3.56
Milligrams per litre,Slovenia,2003,4.03
Milligrams per litre,Slovenia,2004,4.1
Milligrams per litre,Slovenia,2005,3.3
Milligrams per litre,Slovenia,2006,1.1
Milligrams per litre,Slovenia,2007,1.81
Milligrams per litre,Slovenia,2008,1.31
Milligrams per litre,Slovenia,2009,1.04
Milligrams per litre,Slovenia,2010,0.96
Milligrams per litre,Slovenia,2011,0.97
Milligrams per litre,Slovenia,2012,0.96
Milligrams per litre,Slovenia,2013,0.86
Milligrams per litre,Slovenia,2014,0.82
Milligrams per litre,Slovenia,2015,0.84
Milligrams per litre,Slovenia,2016,0.79
Milligrams per litre,Slovenia,2017,0.81
Milligrams per litre,Slovenia,2018,0.88
Milligrams per litre,Slovenia,2019,0.8
Milligrams per litre,Slovenia,2020,0.75
Milligrams per litre,Slovenia,2021,0.78
Milligrams per litre,Slovenia,2022,0.78
Milligrams per litre,Slovakia,2000,3.05
Milligrams per litre,Slovakia,2001,3.42
Milligrams per litre,Slovakia,2002,3.91
Milligrams per litre,Slovakia,2003,3.49
Milligrams per litre,Slovakia,2004,2.97
Milligrams per litre,Slovakia,2005,2.65
Milligrams per litre,Slovakia,2006,2.29
Milligrams per litre,Slovakia,2007,2.45
Milligrams per litre,Slovakia,2008,2.43
Milligrams per litre,Slovakia,2009,2.3
Milligrams per litre,Slovakia,2010,2.61
Milligrams per litre,Slovakia,2011,2.58
Milligrams per litre,Slovakia,2012,2.73
Milligrams per litre,Slovakia,2013,2.55
Milligrams per litre,Slovakia,2014,2.66
Milligrams per litre,Slovakia,2015,2.75
Milligrams per litre,Slovakia,2016,2.39
Milligrams per litre,Slovakia,2017,2.17
Milligrams per litre,Slovakia,2018,2.13
Milligrams per litre,Slovakia,2019,2.1
Milligrams per litre,Slovakia,2020,2.06
Milligrams per litre,Slovakia,2021,1.89
Milligrams per litre,Slovakia,2022,2.22
