watpol,unit,country,year,value
Phosphate in rivers,Milligrams per litre,Croatia,2021,0.023
Phosphate in rivers,Milligrams per litre,Croatia,2022,0.025
Phosphate in rivers,Milligrams per litre,Ireland,2000,0.047
Phosphate in rivers,Milligrams per litre,Ireland,2001,0.043
Phosphate in rivers,Milligrams per litre,Ireland,2002,0.037
Phosphate in rivers,Milligrams per litre,Ireland,2003,0.036
Phosphate in rivers,Milligrams per litre,Ireland,2004,0.034
Phosphate in rivers,Milligrams per litre,Ireland,2005,0.035
Phosphate in rivers,Milligrams per litre,Ireland,2006,0.036
Phosphate in rivers,Milligrams per litre,Ireland,2007,0.035
Phosphate in rivers,Milligrams per litre,Ireland,2008,0.034
Phosphate in rivers,Milligrams per litre,Ireland,2009,0.035
Phosphate in rivers,Milligrams per litre,Ireland,2010,0.038
Phosphate in rivers,Milligrams per litre,Ireland,2011,0.034
Phosphate in rivers,Milligrams per litre,Ireland,2012,0.024
Phosphate in rivers,Milligrams per litre,Ireland,2013,0.022
Phosphate in rivers,Milligrams per litre,Ireland,2014,0.025
Phosphate in rivers,Milligrams per litre,Ireland,2015,0.023
Phosphate in rivers,Milligrams per litre,Ireland,2016,0.026
Phosphate in rivers,Milligrams per litre,Ireland,2017,0.026
Phosphate in rivers,Milligrams per litre,Ireland,2018,0.025
Phosphate in rivers,Milligrams per litre,Ireland,2019,0.025
Phosphate in rivers,Milligrams per litre,Ireland,2020,0.023
Phosphate in rivers,Milligrams per litre,Ireland,2021,0.022
Phosphate in rivers,Milligrams per litre,Ireland,2022,0.022
Phosphate in rivers,Milligrams per litre,Iceland,2000,0.008
Phosphate in rivers,Milligrams per litre,Iceland,2001,0.008
Phosphate in rivers,Milligrams per litre,Iceland,2002,0.009
Phosphate in rivers,Milligrams per litre,Iceland,2003,0.009
Phosphate in rivers,Milligrams per litre,Iceland,2004,0.013
Phosphate in rivers,Milligrams per litre,Iceland,2005,0.013
Phosphate in rivers,Milligrams per litre,Iceland,2006,0.008
Phosphate in rivers,Milligrams per litre,Iceland,2007,0.011
Phosphate in rivers,Milligrams per litre,Iceland,2008,0.007
Phosphate in rivers,Milligrams per litre,Iceland,2009,0.002
Phosphate in rivers,Milligrams per litre,Iceland,2010,0.006
Phosphate in rivers,Milligrams per litre,Iceland,2011,0.008
Phosphate in rivers,Milligrams per litre,Iceland,2012,0.006
Phosphate in rivers,Milligrams per litre,Iceland,2013,0.007
Phosphate in rivers,Milligrams per litre,Iceland,2014,0.01
Phosphate in rivers,Milligrams per litre,Iceland,2015,0.007
Phosphate in rivers,Milligrams per litre,Iceland,2016,0.026
Phosphate in rivers,Milligrams per litre,Iceland,2017,0.022
Phosphate in rivers,Milligrams per litre,Iceland,2018,0.023
Phosphate in rivers,Milligrams per litre,Iceland,2019,0.026
Phosphate in rivers,Milligrams per litre,Iceland,2020,0.021
Phosphate in rivers,Milligrams per litre,Iceland,2021,0.021
Phosphate in rivers,Milligrams per litre,Iceland,2022,0.021
Phosphate in rivers,Milligrams per litre,Italy,2000,0.026
Phosphate in rivers,Milligrams per litre,Italy,2001,0.02
Phosphate in rivers,Milligrams per litre,Italy,2002,0.046
Phosphate in rivers,Milligrams per litre,Italy,2003,0.053
Phosphate in rivers,Milligrams per litre,Italy,2004,0.039
Phosphate in rivers,Milligrams per litre,Italy,2005,0.041
Phosphate in rivers,Milligrams per litre,Italy,2006,0.049
Phosphate in rivers,Milligrams per litre,Italy,2007,0.047
Phosphate in rivers,Milligrams per litre,Italy,2008,0.043
Phosphate in rivers,Milligrams per litre,Italy,2009,0.039
Phosphate in rivers,Milligrams per litre,Italy,2010,0.04
Phosphate in rivers,Milligrams per litre,Italy,2011,0.037
